Some plant varieties can grow up to <mask> feet tall.	nine
Histiocytosis represents <mask> related diseases which range from benign to aggressive.	three
Latin verbs have <mask> principal parts.	four
Numbers can be positive or <mask> only.	zero
White men have <mask> times the risk of blacks of developing testicular cancer.	four
Calves are totally dependent on their mother for the first <mask> months.	three
Black bears are about <mask> metres tall.	two
Lobelia Take <mask> capsules after three meals each day.	two
Lobelia Take two capsules after <mask> meals each day.	three
Adolescent males are <mask> times more likely than adolescent females to commit suicide.	four
Tomatoes require about <mask> to eight weeks from seeding until they reach transplant size.	six
Tomatoes require about six to <mask> weeks from seeding until they reach transplant size.	eight
Deer ticks carry all <mask> diseases.	three
Homosexuals have <mask> times the rate of alcoholism, drug abuse and suicide as heterosexuals.	three
Advanced monotheism recognises a universal sway of <mask> opposite forces.	two
Female dugongs give birth to just <mask> calf about once every five years.	one
Female dugongs give birth to just one calf about once every <mask> years.	five
Somatic evolution comes as <mask> parts.	two
Space is defined by at least <mask> identical particles.	four
People normally sleep in patterns that follow <mask> definite, gradual stages.	four
Many countries have less than <mask> chiropractors in the entire country.	ten
Hair grows through <mask> distinct growth phases.	three
Bacteriophage lambda has <mask> different life cycles.	two
Heart attacks are <mask> times more likely to be fatal for a person who is depressed.	five
Orangutans spend up to <mask> hours a day eating or foraging for food.	six
Positive numbers are more than <mask> and negative numbers are less than zero.	zero
Today there are <mask> federal states, each based on cultural affiliations.	nine
Valencia types have <mask> to six small seeds per pod.	three
Valencia types have three to <mask> small seeds per pod.	six
Bivalves have <mask> shells, like a clam or oyster.	two
Every worm also has <mask> sperm receptacles.	two
Vertebrates possess <mask> types of bone.	two
Modulation is the first of <mask> efficiency related features unique to the linear compressor.	three
Most dark colorations begin to lighten after <mask> weeks of treatment.	four
Mental problems causing sleep disturbance are <mask> times more common in younger adults.	three
Sulfur is needed for the synthesis of <mask> amino acids.	two
Dragonflies have <mask> wings.	four
Morality is a biological adaptation <mask> less than are hands and feet and teeth.	no
Many women have <mask> to five abortions during their life time.	four
Many women have four to <mask> abortions during their life time.	five
Toxicity can occur in <mask> different modalities, acute, sub-acute and chronic toxicity.	three
Baby backs are about <mask> inches long and come from the part of the rib nearest the spine.	four
Skunks can live about <mask> years in captivity.	ten
Bicycles generate less friction because they have only <mask> tires.	two
Enantiomers interact differently with the <mask> forms of light.	two
Saliva comes from <mask> pairs of salivary glands, plus many smaller glands.	three
Breast milk is the best source of nutrition for the first <mask> months of life.	six
Copper has <mask> naturally occurring isotopes.	two
Notebooks are laptop computers that weigh between <mask> and seven pounds.	five
Notebooks are laptop computers that weigh between five and <mask> pounds.	seven
Cities have various sizes, and can contain from <mask> to four armies depending on size.	one
Cities have various sizes, and can contain from one to <mask> armies depending on size.	four
Biologists estimate that for every coyote killed, there are at least <mask> more still at large.	ten
Real numbers are on the x axis, and therefore theta is <mask> or pi .	zero
Octopuses live in different habitats between the tidal zone and up to <mask> kilometres depth.	seven
Harvesting occurs every <mask> to four years in the winter after leaves fall from the trees.	three
Harvesting occurs every three to <mask> years in the winter after leaves fall from the trees.	four
Clays are silica minerals with a <mask> dimensional sheet structure.	two
Sex is something <mask> people have.	two
Ribosomes contain <mask> different histone proteins.	four
Some printers add all <mask> colors to a plate before placing the image on paper.	four
Lights have <mask> uses, to see and be seen.	two
Cuckoos live less than <mask> years in the wild.	six
Summit County has <mask> golf courses and many public tennis courts.	four
Heaves is more likely to appear in horses older than <mask> years.	nine
Fireflies twinkle every <mask> seconds to attract mates.	three
Binocular vision is <mask> dimensional and contributes to depth perception.	three
Unemployment Identify the <mask> types of unemployment.	four
Most people have five fingers on each hand and <mask> toes on each foot.	five
Earthquakes produce <mask> different types of seismic waves.	three
Grace is an invisible meeting of <mask> distant perceptions.	two
Moles create tunnels for <mask> purposes, traveling and feeding.	two
Most apartment buildings have at least <mask> exit stairways.	two
Indian population is <mask> years less than that of the overall Canadian population.	seven
Children usually outgrow food allergies by the time they are <mask> years of age.	five
Some physicians make the mistake of prescribing a medication for only <mask> or four weeks.	three
Some physicians make the mistake of prescribing a medication for only three or <mask> weeks.	four
Violence has <mask> boundaries and effects every person no matter one's race or religion.	no
Violence has no boundaries and effects every person <mask> matter one's race or religion.	no
Dholes are highly social animals and live in packs of about <mask> dogs.	ten
Most children usually stop having multiple ear infections by the time they are about <mask> years old.	four
Cancer affects <mask> in three individuals.	one
Cancer affects one in <mask> individuals.	three
Some infected horses show <mask> signs and become chronic carriers of the disease.	no
Conjugation begins with <mask> animals adhering to each other.	two
Cassowaries have <mask> toes on each foot.	three
Trees begin to bear <mask> to seven years after planting the root shoot.	five
Trees begin to bear five to <mask> years after planting the root shoot.	seven
Hemp fiber is about <mask> times stronger than cotton and more abrasion resistant.	three
Water includes ocean up to <mask> miles offshore.	three
Rodents are a commonly studied by professionals of all <mask> fields.	three
Rape victims are <mask> times more likely than victims of other crimes to attempt suicide.	nine
Bacteria vary widely in size and shape, but in general are at least <mask> times larger than viruses.	ten
Some people routinely sleep only <mask> hours a night but feel fine during the day.	four
Rotifers fall into <mask> salinity categories - marine and freshwater.	two
Cysteine proteinases are important virulence factors, which are encoded by at least <mask> genes.	six
Anthropology is composed of <mask> fields.	four
Earth completes a single total rotation every twenty <mask> hours.	four
Uncombined elements have a <mask> oxidation state.	zero
Negative numbers are left of <mask> on a number line.	zero
Natural gas comes from <mask> types of wells.	two
Testicles have <mask> important jobs in the body .	two
Maps represent our <mask> dimensional world in two dimensions.	three
Maps represent our three dimensional world in <mask> dimensions.	two
Adolescent squirrels are sexually mature by <mask> months to one year of age.	ten
Adolescent squirrels are sexually mature by ten months to <mask> year of age.	one
Most transistors have <mask> connections.	three
Today there are <mask> main areas of focus in applied sports psychology.	three
Reproductive maturity is reached at <mask> to six years in females and seven to nine years in males.	four
Reproductive maturity is reached at four to <mask> years in females and seven to nine years in males.	six
Reproductive maturity is reached at four to six years in females and <mask> to nine years in males.	seven
Reproductive maturity is reached at four to six years in females and seven to <mask> years in males.	nine
Shock occurs when there are intense experiences and <mask> defenses at all.	no
Evolutionists note <mask> major periods of mass extinction in the fossil record.	five
Most insects have <mask> or two pairs of wings.	one
Most insects have one or <mask> pairs of wings.	two
Rheas are brownish instead of black like the ostrich and have <mask> toes instead of two.	three
Canaries have <mask> distinct feather types.	two
Some orchid flowers bloom for <mask> week to up to four months depending on the species.	one
Some orchid flowers bloom for one week to up to <mask> months depending on the species.	four
Cars usually have <mask> wheels and an internal combustion engine.	four
Oligosaccharides are of <mask> types, high mannose and complex .	two
Zeolites have basically <mask> different structural variations.	three
Connectionistic models resemble the brain in <mask> main aspects.	two
Some species have flowers veined or feathered with <mask> colors.	two
Tidal currents can exceed <mask> knots and standing waves, rips, can be more than ten feet high.	three
Tidal currents can exceed three knots and standing waves, rips, can be more than <mask> feet high.	ten
Lake Superior is larger than any of the <mask> smallest Central American nations.	four
Birds bitten by infected mosquitoes are infectious from <mask> to eight days.	four
Birds bitten by infected mosquitoes are infectious from four to <mask> days.	eight
Diarrheal diseases result in the death of about <mask> million infants and children annually.	five
Macular degeneration comes in <mask> forms, dry and wet.	two
Rice is cultivated year round in <mask> growing seasons which are defined by the amount of rainfall.	three
Human knowledge is limited to what can be experience with the <mask> senses.	five
Temperature causes the matter to exist in <mask> different states.	three
Some people have hay fever during all <mask> seasons.	three
Women are <mask> times more likely to have the condition than men.	three
All species have <mask> basic requirements for survival.	four
Nymphs are baby lice that mature in about <mask> days.	seven
Large nests provide a home for up to <mask> million insects.	five
Humpbacks use at least <mask> methods of feeding.	two
Dehydration kills <mask> million children every year.	three
Caffeine is an addictive substance, <mask> less than nicotine.	no
Most black widows live only <mask> year, but they can live up to three years.	one
Most black widows live only one year, but they can live up to <mask> years.	three
Filarial parasites have an intriguing life cycle with <mask> clear developmental stages.	five
Crustaceans have a body that is divided into <mask> segments, a head, thorax, and abdomen.	three
Cholesterol comes from <mask> sources.	two
Massive stars explodes after only a few <mask> million years as enormously energetic supernovae.	ten
Goblins are a little larger, usually <mask> to three feet, but sometimes much larger or smaller.	one
Goblins are a little larger, usually one to <mask> feet, but sometimes much larger or smaller.	three
Mountain sheep have <mask> sharp teeth at the front of the mouth.	eight
Deer ticks take <mask> years to complete their life cycle.	two
Seahorses reproduce sexually, because they combine gametes from <mask> parents.	two
Retinoic acid regulates oral epithelial differentiation by <mask> mechanisms.	two
Spores have <mask> combinations of sexes.	four
All polygons have <mask> sides.	four
Chinese cuisine has <mask> tolerance for animal rights groups.	zero
Mothers begin to prepare girls to run a household when they are between <mask> and nine years old.	seven
Mothers begin to prepare girls to run a household when they are between seven and <mask> years old.	nine
Pride is the first sin in the <mask> deadlies.	seven
Nymphs pass through <mask> stages before becoming adults.	five
Basketball is a team sport played in a gym with up to <mask> players on the court at a time.	five
Choirs usually sing in several parts, most often in <mask> parts.	four
Most infected cats show <mask> symptoms of the disease.	no
Poisonous mushrooms can cause <mask> distinct clinical syndromes.	four
Summers are hot and dry, winters intensely cold, with snow sometimes lying up to <mask> months.	three
Dogs can begin gundog training as early as <mask> months of age.	six
Cnidarians have more than <mask> true tissue layers.	three
Epithelial cells come in <mask> shapes, squamous, cuboidal or columnar.	three
Ions can consist of <mask> or more atoms.	two
Cysts can remain viable in cold water for <mask> months.	two
Diabetes can cause eye problems that have <mask> symptoms until the damage is well advanced.	no
Least squares means of boar taint compounds in <mask> breeds of entire male pigs.	four
Dual nationality is the simultaneous possession of <mask> citizenships.	two
Hurricane season begins in <mask> weeks.	two
Soil contains <mask> components that determine texture sand, silt, and clay.	three
Cattle can have up to <mask> to ten years of grazing, after which a scrub savannah grows up.	six
Cattle can have up to six to <mask> years of grazing, after which a scrub savannah grows up.	ten
Heavy chain has <mask> V region and three or more C-regions.	one
Heavy chain has one V region and <mask> or more C-regions.	three
Reptiles also have scaly skin and a <mask> chambered heart.	three
Salicylic acid has a half life of about <mask> hours at therapeutic doses.	four
Anaemia affects around <mask> billion people worldwide.	two
Brambles are biennials that emerge in <mask> stages.	two
Hogs have <mask> toes on each foot.	four
Compound machines are <mask> or more simple machines working together.	two
Plantains are available to be eaten in <mask> different states.	two
Some alternative antibiotics require <mask> doses per day for ten days.	three
Some alternative antibiotics require three doses per day for <mask> days.	ten
Altricial chicks are tended and brooded by female the first <mask> days.	ten
Mosquitoes probably live only about <mask> weeks.	two
Resurrection Plants form straight stems which grow up to <mask> centimeters in length.	eight
Disc florets are usually actinomorphic, with <mask> petal lips on the rim of the corolla tube.	five
Rhinos are ungulates, or herbivorous animals with <mask> toes.	three
Cleavage is perfect in <mask> directions.	two
Runways are busy places, even when there are <mask> planes around.	no
Marriage is a sacred institution that unites <mask> soulmates.	two
American men click on Internet sex sites <mask> times more often than women do.	six
Essential oils enter the body in <mask> ways.	three
Rats come in <mask> varieties.	two
Some people experience <mask> symptoms during a heart attack.	no
Tempered glass is <mask> times stronger than regular glass.	four
Cognition is the process of receiving signals from outside of the organism via our <mask> senses.	five
Iambics have <mask> syllables.	two
Maps are <mask> dimensional representations of the earth's surface.	two
Breast cancer strikes <mask> out of every eight American women.	one
Breast cancer strikes one out of every <mask> American women.	eight
Glycoproteins contain chains of usually <mask> different carbohydrates.	four
Hatchlings fall into <mask> main categories, nidicolous and nidifugous.	two
Female cats can go into heat for the first time as early as <mask> months of age.	five
Hyphenated words count as <mask> words.	two
Russian banks have <mask> year history of embezzeling depositors money.	ten
Whales rise in <mask> stages.	three
Some robots have more than <mask> degrees of freedom, some less, depending on the kind of work they do.	six
Hydrocarbons have <mask> ozone depletion potential, and very low global warming impact.	zero
Flytraps spin when <mask> creatures can be infected.	no
Field lines exist only in <mask> dimensions.	two
Vision disorders affect <mask> in every four school-age children.	one
Vision disorders affect one in every <mask> school-age children.	four
Trilliums contain <mask> petals, sepals and leaves each.	three
Normal mares produce approximately <mask> liters of colostrum.	two
Collaborative commerce is the extension of core business processes beyond a company's <mask> walls.	four
Blood has <mask> main functions.	three
Some hernias close themselves as late as <mask> years of age.	ten
Proboscis monkeys live in-groups of <mask> to fifteen with an adult male as their leader.	five
Ellipses perform <mask> very distinct functions in writing.	two
Eagles usually start to breed at <mask> to nine years of age.	four
Eagles usually start to breed at four to <mask> years of age.	nine
Male plants yield more asparagus with <mask> seeds produced while in the fern stage of growth.	no
Some palm seeds take <mask> years to germinate.	three
Diabetes can occur in <mask> separate ways.	three
People can have <mask> legs, fur, tails, feathers, fins, scales and even exoskeletons.	four
Many children have a bowel movement only once every <mask> or four days.	three
Many children have a bowel movement only once every three or <mask> days.	four
Scientists think that there are really <mask> different shapes of snow crystals.	four
Men are <mask> times more likely to develop actinomycosis than women.	three
Rockets have about <mask> seconds of fuel and follow ballistic paths after the fuel is exhausted.	ten
Female circumcision is practiced on young girls , usually between the ages of <mask> and eight.	four
Snail shells have spiral symmetry, and delphiniums have <mask> equally spaced petals.	five
Barium hydroxide contains <mask> hydroxide anions.	two
Individual caribou can lose up to <mask> pounds of blood during a summer season.	five
Space has <mask> boundaries and extends endlessly in all directions.	no
Canadian women have a <mask> in nine chance of getting breast cancer.	one
Canadian women have a one in <mask> chance of getting breast cancer.	nine
ADD is a neurological problem that affects at least <mask> percent of the population.	five
Depression ranks among the top <mask> workplace problems following only family crisis and stress.	three
Time is divided to <mask> components, imaginary and real.	two
Human females have <mask> X chromosomes.	two
Human speech has <mask> distinctive yet complementary functions and modes.	two
Neurologists usually divide the pain syndromes into <mask> groups.	two
Membrane structure has <mask> components, lipids and proteins.	two
Carcinomas are <mask> times as frequent in women as in men.	three
Homosexual men are <mask> times more likely to have attempted suicide than are heterosexual men.	six
Some parents do favour contact for children starting at <mask> years old.	eight
Crosses mark the centers of the <mask> galaxies.	two
Dicots have <mask> cotyledons.	two
Children range in age from birth to <mask> years.	six
Disasters have <mask> boundaries and they strike at all races, all creeds, all sizes of people.	no
Asci are transparent cylindrical sacs that each contain <mask> ascospores .	eight
Infants weigh on average <mask> or two pounds at birth.	one
Infants weigh on average one or <mask> pounds at birth.	two
Nymphs feed for at least a month and develop through <mask> instars before becoming adults.	four
Some families have <mask> parents, some have only one.	two
Disposable diapers generate <mask> times as much solid waste as cloth diapers.	four
Time series are annual data for <mask> years prior to the latest year.	five
American men are <mask> times more likely to die from prostate cancer than Japanese men.	five
Quanta has <mask> mass and takes up no space, yet extends out into the universe.	no
Quanta has no mass and takes up <mask> space, yet extends out into the universe.	no
Lions live in groups of <mask> to thirty individuals, called prides.	three
Mothers carry infants constantly their first <mask> weeks.	three
Barbershop harmony is a style of unaccompanied singing with <mask> voices harmonizing to the melody.	three
Young groundhogs are weaned and ready to seek their own dens at <mask> to six weeks of age.	five
Young groundhogs are weaned and ready to seek their own dens at five to <mask> weeks of age.	six
Calves are the offspring of <mask> adult cows.	two
Cellulose contains <mask> calories per gram.	zero
Women devote their lives to raising families of six, seven, and <mask> children.	eight
Men are creatures with <mask> legs and eight hands.	two
Men are creatures with two legs and <mask> hands.	eight
Climatic regions Contrasts between the interior and the coasts produce <mask> main climatic regions.	six
Women are <mask> times more likely to be attacked at home than on the street.	nine
Cranes mate for life and often pair when they are <mask> to six years old.	three
Cranes mate for life and often pair when they are three to <mask> years old.	six
Subways transport more than <mask> and a half million people a day.	three
Tuataras reproduce very slowly, sometimes taking <mask> years to reach sexual maturity.	ten
Conifer seeds are very complex structures, containing cells from <mask> generations of the tree.	three
Drastic maps are composites made up of <mask> individually mapped hydrogeological parameters.	eight
Many prosimians have at least <mask> nipples and produce litters rather than a single offspring.	four
Scientific understanding based on the experimental method has a history of only <mask> hundred years.	three
Ear buds have <mask> cuffs that surround the ear, and no headband.	no
Ear buds have no cuffs that surround the ear, and <mask> headband.	no
Water scorpions regulate their depth using <mask> pairs of special sensors on their bellies.	three
Most aphthous ulcers heal in <mask> to two weeks.	one
Most aphthous ulcers heal in one to <mask> weeks.	two
Japan is consists of <mask> main islands.	four
Termites live in large colonies of cooperating individuals of <mask> different castes.	three
Lions stand <mask> feet tall at the shoulders.	three
Deadly spiders nest under toilet seats and have killed <mask> people in Chicago.	three
Salmonella typhi infection in children younger than <mask> years of age.	five
Carbon is electron deficient - it only has <mask> electrons around it.	four
Stairs account for <mask> times more injuries to children under age five than do toys.	three
Stairs account for three times more injuries to children under age <mask> than do toys.	five
Files are <mask> or more object files with zero or more library names.	one
Files are one or more object files with <mask> or more library names.	zero
Soy contains at least <mask> compounds that inhibit pigment formation.	two
Brain death occurs in just <mask> to six minutes unless the heart rhythm is restored.	four
Brain death occurs in just four to <mask> minutes unless the heart rhythm is restored.	six
Spiders have <mask> eyes.	eight
Motor neurons are divided into <mask> groups.	two
Dragonflies have <mask> quite separate life stages.	two
Bipolar depression is the more serious of the <mask> types.	two
Air conditioners can have <mask> or two speeds.	one
Air conditioners can have one or <mask> speeds.	two
Most sharks are <mask> to seven feet long.	six
Most sharks are six to <mask> feet long.	seven
Vitality refers to the force which binds together the other <mask> states of consciousness.	six
Color film is sensitized in <mask> layers to red, green, and blue light.	three
Exotic pheasants show a decline after about <mask> years.	four
Normal seawater contains <mask> hundred eighty milligrams of salt per liter .	three
GAS can be present in the throat or on the skin and cause <mask> symptoms of disease.	no
Clovers occasionally have leaves with <mask> leaves, instead of the usual three.	four
Fever usually lasts for an average of <mask> days in adults.	three
Cucumbers have <mask> different flowers, male and female.	two
Shelled pecans can keep <mask> months in the freezer.	six
Diatoms are divided into <mask> Orders.	two
Females give birth to a single baby after a gestation period of about <mask> months.	six
Plushies can be almost any size from a few inches to <mask> feet tall, or larger.	six
Tobacco smoke contains up to <mask> percent carbon monoxide.	four
Analogous colors are <mask> neighbors on the color wheel, like green, blue-green, and blue.	three
Litters consist of anywhere between <mask> and six cubs.	one
Litters consist of anywhere between one and <mask> cubs.	six
Acute sinusitis is any infectious process in the sinus lasting from <mask> day to three weeks.	one
Acute sinusitis is any infectious process in the sinus lasting from one day to <mask> weeks.	three
Implants can last for <mask> years or more.	ten
Wheat has <mask> waxy proteins that affect the amount of amylose present in the starch.	three
Space simply has <mask> dimensions which are filled with material things.	three
Weight loss helps people with diabetes in <mask> ways.	two
Smokers lose their teeth at a rate <mask> tunes greater than nonsmokers.	three
Cats have <mask> toes on their front paws, but only four touch the ground when walking.	five
Cats have five toes on their front paws, but only <mask> touch the ground when walking.	four
Turkey is located at a point where <mask> continents, Asia, Africa and Europe come together.	three
Maple sap contains <mask> sugars, levulose and dextrose.	two
Earthworms have <mask> hearts.	five
Primitive crinoids have <mask> circlets.	four
Most people have five fingers on each hand and <mask> toes on each foot .	five
Lobsters have <mask> distinctive life stages with separate ecologies and behaviors.	three
Space is experienced as extended in <mask> dimensions.	three
Grays often hole up for <mask> or four days at a time during severe weather.	three
Grays often hole up for three or <mask> days at a time during severe weather.	four
Sirajganj district is divided into <mask> constituencies.	seven
Colostrum contains <mask> types of specific antibodies.	five
Tusks grow up to <mask> inches a year and continue growing throughout the elephants' lifetime.	seven
Mammals have <mask> cervical vertebrae, a number that remains remarkably constant.	seven
Shamans have <mask> forms of election, passive and active.	two
Shrubs are perennial plants-meaning they live for at least <mask> years.	three
Mothers have <mask> to seven babies.	one
Mothers have one to <mask> babies.	seven
Statistics show that <mask> in nine college men have been victims of rape or attempted rape.	one
Statistics show that one in <mask> college men have been victims of rape or attempted rape.	nine
Fats come in <mask> different forms saturated and unsaturated.	two
Perjury is a crime with a <mask> year penalty.	five
Childhood cancers are <mask> times higher than the national average.	six
Warthogs also sport <mask> sharp tusks.	four
